Year,Country,POVERTY50,forceddisplacment,violentconflict,GIIgender,safetynet,aidtrade,coremulti,odaclimate,Infectiousbimulti,peacesec,tied and contracts,unvote,arms1,cpa,elections,Poverty50,forceddisplacment,violentconflict,GII,safetynet,aidtrade,coremulti,odaclimate,Infectiousbimulti,peacesec,tied and contracts,unvote,Arms trade (1),cpa,elections,Need,Global System,Public Spirited,sum of ranks,Rank,Rank change,Rank change (string),Story 1,Story 2
2013,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.067176739,6.603608556,7.837948553,18.50873385,17,N/A,N/A,n/a,n/a
2013,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.700323237,6.881907262,4.936537499,15.518768,21,N/A,N/A,n/a,n/a
2013,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77600518,6.345895269,7.818516032,19.94041648,11,N/A,N/A,n/a,n/a
2013,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.695165434,8.977832774,7.460336261,23.13333447,4,N/A,N/A,n/a,n/a
2013,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.708465711,5.441413965,3.928366346,14.07824602,23,N/A,N/A,n/a,n/a
2013,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.735812981,7.046667905,7.040814457,19.82329534,12,N/A,N/A,n/a,n/a
2013,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7498584,8.405749355,7.167733956,22.32334171,7,N/A,N/A,n/a,n/a
2013,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.064373796,7.51735159,7.032025159,18.61375054,16,N/A,N/A,n/a,n/a
2013,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.284132694,7.784349712,7.711356552,20.77983896,9,N/A,N/A,n/a,n/a
2013,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.048045294,1.21502516,2.561330582,5.824401036,28,N/A,N/A,n/a,n/a
2013,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.046891054,7.722702241,6.895124228,21.66471752,8,N/A,N/A,n/a,n/a
2013,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.214492065,7.124720645,8.498634031,23.83784674,3,N/A,N/A,n/a,n/a
2013,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.834559184,5.552938896,6.797658352,17.18515643,19,N/A,N/A,n/a,n/a
2013,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.977910103,6.823679876,7.15200241,18.95359239,15,N/A,N/A,n/a,n/a
2013,Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.018909284,6.979071663,6.361499185,18.35948013,18,N/A,N/A,n/a,n/a
2013,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.514728399,5.733108115,7.906896634,19.15473315,14,N/A,N/A,n/a,n/a
2013,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.503047873,8.460352561,5.996299921,19.95970036,10,N/A,N/A,n/a,n/a
2013,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.974356422,6.447975653,2.952119795,12.37445187,24,N/A,N/A,n/a,n/a
2013,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95728012,9.493338548,6.965436579,22.41605525,6,N/A,N/A,n/a,n/a
2013,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.844251684,3.404713249,3.661092402,10.91005733,26,N/A,N/A,n/a,n/a
2013,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.731180451,4.596495719,5.951636841,14.27931301,22,N/A,N/A,n/a,n/a
2013,Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277261795,4.340229844,3.547772463,12.1652641,25,N/A,N/A,n/a,n/a
2013,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380728095,5.902717613,1.325197301,8.60864301,27,N/A,N/A,n/a,n/a
2013,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.716934007,5.332927132,5.459486706,16.50934785,20,N/A,N/A,n/a,n/a
2013,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74543648,8.839378892,7.330916939,22.91573231,5,N/A,N/A,n/a,n/a
2013,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.805469189,7.999545562,6.569834865,19.37484962,13,N/A,N/A,n/a,n/a
2013,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.409420304,9.667119664,8.3648881,25.44142807,1,N/A,N/A,n/a,n/a
2013,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.457612082,9.250055442,7.657427742,24.36509527,2,N/A,N/A,n/a,n/a
2014,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.358149833,7.243967269,7.348816114,18.95093322,17,0,0,n/a,n/a
2014,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18541728,6.099562491,4.964081777,14.24906155,22,-1,-,n/a,n/a
2014,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.569467247,6.677158369,8.086271112,20.33289673,13,-2,-,n/a,n/a
2014,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.471848297,7.255073295,6.772771517,20.49969311,12,-8,-,n/a,n/a
2014,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.541765077,5.109747116,3.795389149,14.44690134,21,2,+,n/a,n/a
2014,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.919031055,7.33628771,7.338271853,20.59359062,11,1,+,n/a,n/a
2014,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.469010425,8.702295236,6.371718694,22.54302436,5,2,+,n/a,n/a
2014,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.569688644,7.375290902,6.912500853,17.8574804,19,-3,-,n/a,n/a
2014,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.055399384,7.607351442,7.585529669,20.2482805,14,-5,-,n/a,n/a
2014,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.684150879,0.604804311,3.256138692,5.545093882,28,0,0,n/a,n/a
2014,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64675339,8.287222791,5.871223485,21.80519967,6,2,+,n/a,n/a
2014,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.912010764,6.847077747,8.674136965,24.43322548,3,0,0,n/a,n/a
2014,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64140451,5.18093707,6.846432555,16.66877413,20,-1,-,n/a,n/a
2014,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.541984209,7.960199537,7.407026273,20.90921002,8,7,+,n/a,n/a
2014,Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.332016819,6.870475264,7.076129437,19.27862152,15,3,+,n/a,n/a
2014,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.009016355,6.45001336,8.182955174,20.64198489,10,4,+,n/a,n/a
2014,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.415581357,7.438970643,6.328715681,19.18326768,16,-6,-,n/a,n/a
2014,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.653795004,7.209568264,3.13192698,12.99529025,25,-1,-,n/a,n/a
2014,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.330697625,9.913062752,6.911642277,23.15540265,4,2,+,n/a,n/a
2014,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.682130489,4.322813304,4.20584604,13.21078983,24,2,+,n/a,n/a
2014,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.582798923,4.921503169,5.146461194,13.65076329,23,-1,-,n/a,n/a
2014,Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.256320991,3.750309285,2.64500969,9.651639967,26,-1,-,n/a,n/a
2014,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.306545542,5.224930088,0.614040753,7.145516383,27,0,0,n/a,n/a
2014,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.821481206,5.949772124,6.589869302,18.36112263,18,2,+,n/a,n/a
2014,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.565798002,7.839678419,7.29687546,21.70235188,7,-2,-,n/a,n/a
2014,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.859432369,8.251969615,7.655996919,20.7673989,9,4,+,n/a,n/a
2014,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.266603772,9.297754365,7.951363946,24.51572208,1,0,0,n/a,n/a
2014,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.805466631,8.979600751,7.721642982,24.50671036,2,0,0,n/a,n/a
2015,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.984456027,6.952421518,8.188648986,19.12552653,15,2,+,n/a,n/a
2015,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.446826523,5.392255259,4.260365863,12.09944765,25,-3,-,n/a,n/a
2015,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.409716494,5.952470343,8.360531764,20.7227186,9,4,+,n/a,n/a
2015,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.656356165,9.294841457,7.336753489,23.28795111,4,8,+,n/a,n/a
2015,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.616381175,5.330914951,4.7804684,14.72776453,21,0,0,n/a,n/a
2015,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.435895366,6.6613325,7.305525165,19.40275303,13,-2,-,n/a,n/a
2015,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.463528656,8.93694326,7.402073751,22.80254567,6,-1,-,n/a,n/a
2015,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.627806072,7.673025208,7.294812795,18.59564408,17,2,+,n/a,n/a
2015,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.127422216,6.904974279,7.637865013,18.67026151,16,-2,-,n/a,n/a
2015,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.070669736,0.159964257,2.738759705,3.969393698,29,-1,-,n/a,n/a
2015,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.199946848,2.556921838,3.678463347,8.435332034,28,N/A,+,n/a,n/a
2015,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.167861735,7.88002201,7.063211515,23.11109526,5,1,+,n/a,n/a
2015,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.137865366,6.97192785,8.306493437,24.41628665,2,1,+,n/a,n/a
2015,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.397426551,5.617234955,6.572932014,16.58759352,19,1,+,n/a,n/a
2015,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.886668878,7.829812063,6.746931758,19.4634127,12,-4,-,n/a,n/a
2015,Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.377896351,7.296108021,6.583434077,19.25743845,14,1,+,n/a,n/a
2015,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.147625838,6.678469493,8.560909192,21.38700452,8,2,+,n/a,n/a
2015,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.224275397,6.459973671,6.425136867,18.10938593,18,-2,-,n/a,n/a
2015,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07107902,7.135649541,2.913501308,12.12022987,24,1,+,n/a,n/a
2015,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81312259,9.730650161,6.376796338,21.92056909,7,-3,-,n/a,n/a
2015,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79313333,4.503085937,5.082744628,14.37896389,22,2,+,n/a,n/a
2015,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.987642362,5.003979117,5.321299691,14.31292117,23,0,0,n/a,n/a
2015,Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.627315806,4.78022146,2.152125296,10.55966256,26,0,0,n/a,n/a
2015,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724678672,4.526658996,3.347539259,9.598876927,27,0,0,n/a,n/a
2015,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.105333262,4.708031707,6.605654274,16.41901924,20,-2,-,n/a,n/a
2015,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.619339376,7.502785159,7.519515457,20.64163999,10,-3,-,n/a,n/a
2015,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.857428539,7.689332646,7.986739235,20.53350042,11,-2,-,n/a,n/a
2015,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.508597959,9.057786538,8.325852515,24.89223701,1,0,0,n/a,n/a
